start	end	text
0	18840	Et c'est parti pour l'épisode 31 camarades à double pénis, bienvenue dans cet épisode
18840	22920	qui s'annonce exceptionnel puisque aujourd'hui nous allons faire un podcast de 20 minutes
22920	23920	si je me souviens bien.
23920	24920	Exactement.
24920	28560	Nous sommes donc le mardi 13 avril, on va dire qu'on est le 13 avril là, on va pas
28560	32400	rentrer dans les petits détails comme ça gênant, et surtout on va dire qu'il est
32400	33400	23h30.
33400	34400	Ouais.
34400	35400	Bon à 40 minutes près.
35400	40760	Ok, ce soir il y a pas mal d'actu je crois, mais en même temps c'est promis de faire
40760	42800	court donc on va tout de suite passer au tour de table.
42800	46720	Alors le tour de table c'est moi qui le commence, alors la semaine dernière on nous
46720	51600	a dit l'émission était pas terrible etc, le capitaine Webb était furieux, il était
51600	52600	absolument furieux.
52600	53600	J'étais carrément furieux quoi.
53600	54600	Il était vénère.
54600	55600	J'ai commencé à me frapper à tête contre les murs et tout.
55640	61360	Voilà donc il m'a dit écoute, capitaine Webb, non pardon, tu t'adressais à moi donc
61360	66120	lors de ton père tu m'as dit, le podcast 30 était pas bien, c'est de ta faute, t'as
66120	69840	loupé le débat avec David, t'as posé les mauvaises questions, t'as rubri qu'en plus
69840	70840	c'était à chier.
70840	71840	Exactement.
71840	74760	Tes sujets totalement nuls, et ben écoute la semaine prochaine si tu fais pas un truc
74760	75760	bien t'es viable.
75760	76760	Voilà.
76760	77760	Voilà ce que m'a dit le capitaine Webb.
77760	78760	Licencier.
78760	82280	Alors qu'est-ce que j'ai fait pour cette semaine, j'arrête pas les acéliques, qu'est-ce
82280	88040	que j'ai fait pour cette semaine, j'ai préparé et j'ai emmené avec moi mon arme absolue,
88040	92000	celle que je garde depuis le début de cette émission de côté.
92000	93000	Ah non ferme ta braguette là.
93000	94000	Non c'est pas celle-là.
94000	101720	Pour le cas où, et bien, vous verrez ce soir l'arme secrète, The Lethal Weapon !
101720	102720	C'est tout !
102720	103720	Qu'est-ce que ça est ?
103720	106200	C'est du vieux teasing à deux balles là.
106200	109160	Et ouais c'est vraiment à deux balles, mais vous le serez tout à l'heure.
109160	111640	Tout ça pour ça, on a déjà perdu dix minutes là.
111640	119560	Alors moi j'avais prévu une rubrique expédition des capitaines, mais vu qu'on veut faire
119560	125360	un podcast de 1h20 on va pas la faire, et sinon c'est du was-off classique, efficace,
125360	128960	et dégueulasse, et un peu dégueulasse quoi, mais juste un peu.
128960	132240	Bah écoute bon ça va, alors nous à moi c'est l'actu de la semaine comme d'habitude,
132240	135480	une semaine qui a bien commencé, une fin de semaine dernière qui était pas mal non plus,
135480	139840	donc on va parler de tout ça avant d'en arriver là, quelques petites infos et on va commencer
139840	144880	par faire de la pub pour la Taverne, la Fantaisie Taverne numéro 1 qui est en ligne,
144880	148280	et dans laquelle Quacos et moi nous intervenons, et ça c'est important.
148280	149280	En tant que grand spécialiste ?
149280	153960	Grand spécialiste effectivement, alors on doit dire trois mois à la fin, je sais pas
153960	156800	lesquels parce que je me souviens plus très bien, j'ai pas osé trop regarder.
156800	158040	Ça fait à peu près ça qu'on intervient.
158040	163680	Ah oui effectivement, donc on s'est foutu la honte autant le dire direct, il y a même
163680	165760	des images exclusives de notre cave préférée.
165760	167120	Tu nous as foutu la honte quoi.
167880	171560	On nous laisseront les gens décider de ça, ils vont aller voir eux-mêmes le podcast et
171560	172560	puis ils nous diront ce qu'ils en pensent.
172560	177000	Moi j'ai eu des tas de messages de soutien sur Twitter, donc là tu essayais de me brider.
177000	180080	Mais j'essayais de te brider, il y a des gens qui pensaient que c'était préparé,
180080	182920	et je tiens à dire que pas du tout, ce qui s'est passé durant le podcast n'était pas
182920	187600	préparé, c'est du vrai live, donc vous verrez par vous-même, voilà.
187600	191120	Sinon autre chose, sur quel site on trouve la Fantaisie Taverne ?
191120	196000	Oui bien sûr, fantaisie.fr, vous cliquez sur Fantaisie TV je crois, et là vous allez
196000	197000	arriver.
197000	200520	Il est aussi sur iTunes, donc allez le voir sur iTunes, abonnez-vous, votez pour lui,
200520	201520	comme vous faites pour nous.
201520	204800	Si tous ceux qui ont voté pour nous vont voter pour lui, je pense que ça va faire
204800	205800	un bon démarrage.
205800	208320	Vous pouvez dire que c'est de la merde, mais vous mettez 5 étoiles.
208320	209320	Comme pour nous.
209320	212840	Et le numéro 2 sera par est-il disponible dès la semaine prochaine.
212840	216480	Je reconnais un qui ne va pas dormir des masses, il va bien s'amuser.
216480	219720	Sinon deux choses vite fait, on ne va pas de la semaine prochaine.
219720	220720	Ah bah ça c'est bien.
220720	224840	Et moi je vais te parler du mois prochain, il y a un truc super.
224920	228840	On va peut-être avertir les personnes qui nous écoutent, que la semaine prochaine,
228840	230840	alors qu'est-ce que vous faites ? Parce que moi je ne serais pas là, je ne sais pas
230840	231840	ce que vous avez décidé.
231840	232840	On a juste été de faire dodo.
232840	235840	Voilà, donc la semaine prochaine il n'y aura pas de podcast.
235840	237840	C'est une rubrique spéciale Lors ton père, tout le monde dort.
237840	242240	Voilà, donc ne venez pas, il n'y aura personne, par contre dans 15 jours, c'est la grande
242240	246840	rentrée, le grand retour de Manox, come back from the USA, et en plus il vient avec deux
246840	247840	invités.
247840	249840	Voilà, alors normalement nous allons recevoir...
249840	252840	Des vrais invités, prévenons quand même.
252840	255840	Alors normalement vous allez recevoir Lolita, que vous connaissez déjà, puisqu'elle est
255840	258840	déjà apparue dans deux numéros, ça devient un peu une chroniqueuse elle aussi, même
258840	259840	si elle ne dit rien.
259840	263840	Et surtout nous allons recevoir Boulet, le dessinateur que tout le monde connaît, le
263840	267840	blog BD No.1, bouletcorp.com, qui ne connaît pas.
268840	269840	On connaît tous.
269840	270840	En dehors de vous.
270840	271840	Non non, on connaît tous.
271840	275840	Donc voilà, normalement si ces deux-là ne se dégonflent pas, effectivement pour notre
275840	280840	tour dans 15 jours, ça va être un numéro exceptionnel qui va commencer, ce qu'on pourrait
280840	283840	appeler presque une clôture de saison, du moins on aura l'occasion d'en parler.
283840	285840	On tease un peu là.
285840	289840	Allez, quand est-ce que je peux inviter Katsuni alors ?
289840	290840	Quand tu veux.
290840	293840	Mais t'es pas obligé de l'inviter pendant un apéro.
293840	294840	Ah d'accord.
294840	295840	En after.
295840	297840	Ok, alors normalement on devait écouter des messages de répondeurs, mais comme d'habitude
297840	300840	nous n'avons pas eu le temps de nous en occuper, et c'est un drame.
300840	303840	En conséquence, on va passer directement à l'actu de la semaine.
311840	315840	Et l'actu du web cette semaine, enfin l'actu high-tech plutôt, il y en a eu pas mal.
315840	317840	Alors vous savez de quoi je vais parler forcément ?
317840	318840	De l'iPhone ?
318840	321840	Ouais, on va parler d'Apple, je vous cache pas que...
321840	322840	De la Super NES ?
322840	326840	On va essayer de trop s'attarder sur l'iPad, donc voilà ça se vend bien, je crois qu'on
326840	327840	va juste dire ça.
327840	330840	Il y a eu quelques échos sur le net, mais je pense que vous savez vous-même où aller
330840	331840	chercher pour ça.
331840	334840	On va plutôt parler de la conférence de la petite keynote, je sais pas si on a appelé
334840	337840	ça une keynote, qui a eu lieu jeudi dernier.
337840	342840	Donc la présentation officielle de l'OS 4 que je suis sûr que ton père a déjà installé
342840	344840	sur son iPhone gel braqué.
